@ID,X.12TH.GENDER,SU Race,X.12TH.FGEN.FLAG,X.12TH.FY.COHORT,X.12TH.TR.COHORT,X.12TH.PELL.FLAG
3331718,M,WHI,,,,
3316270,F,WHI,Y,,,
3341244,F,WHI,,,,
3334680,F,WHI,,,,
3332501,F,WHI,,,,
3331842,M,MUL,Y,,,
3334814,F,WHI,,,,
3058651,F,WHI,Y,,,
3314807,M,WHI,,,,
3271618,M,WHI,,,,
3340444,M,HIS,,,,
3330811,F,WHI,,,,
3313321,F,HIS,Y,,,Y
3322520,F,MUL,,,,
3300057,F,WHI,,,,
3326631,F,WHI,,,,
3315869,M,HIS,Y,,,Y
3336394,M,WHI,,,,
3346292,F,AS,,,,
3322019,F,WHI,,,,
3342428,M,WHI,,,,
3331166,M,HIS,Y,,,Y
3340670,M,HIS,,,,
3318229,M,WHI,,,,
3316626,F,WHI,,,,Y
3332424,M,WHI,,,,
3341571,F,WHI,,,,
3338658,F,WHI,,,,
3329005,M,WHI,,,,
3342607,M,WHI,,,,
3325213,F,WHI,,,,
3324141,F,HIS,,,,
3316422,F,AS,,,,
3316075,F,WHI,,,,Y
3341846,M,HIS,Y,,,Y
3342835,M,HIS,Y,,,
3281528,F,BL,Y,,,Y
3338528,M,WHI,,,,Y
3334437,F,WHI,,,,
3342096,F,WHI,Y,,,
3342675,M,WHI,,,,
3335934,F,BL,,,,Y
3318145,F,UNK,,,,
3339707,F,WHI,,,,
3324433,F,WHI,,,,
3326790,M,WHI,,,,
3339506,M,HIS,,,,Y
3333483,M,WHI,,,,Y
3325831,M,WHI,,,,
3317075,M,AS,,,,Y
3324352,F,NRA,,,,
3052616,M,WHI,,,,
3346609,M,WHI,,,,
3343681,F,HIS,Y,,,
3327979,F,UNK,,,,
3341699,M,HIS,Y,,,Y
3333358,F,AS,Y,,,Y
3316130,M,WHI,,,,
3332483,M,HIS,Y,,,Y
3341208,M,WHI,,,,Y
2889082,M,WHI,,,,
3322837,M,WHI,,,15/SP,
3331401,F,MUL,,,,
3331860,M,WHI,,,,
3313980,F,WHI,,,,
3316423,F,WHI,,,,Y
3343528,F,HIS,Y,,,
3304910,F,WHI,Y,,,Y
3339932,F,WHI,,,,
3331708,F,WHI,,,,
3331203,F,WHI,,,,
3332328,F,WHI,,,,
3341368,M,AS,,,,
3317906,M,MUL,,,,Y
3346291,F,WHI,Y,,,Y
3344064,M,HIS,,,,
3322990,M,WHI,,,,
3317445,M,WHI,Y,,,
3326230,F,WHI,,,,Y
3324572,F,WHI,,,,
3335953,M,WHI,,,,
3315571,M,WHI,,,,
